Title,Runtime,ReleaseDate,Rating,DomesticTotalGross,Director,Budget
Morning Glory,102,2010-11-10 00:00:00,PG-13,31011732,Roger Michell,40000000
How Do You Know,116,2010-12-17 00:00:00,PG-13,30212620,James L. Brooks,120000000
Daybreakers,98,2010-01-08 00:00:00,R,30101577,,20000000
Nanny McPhee Returns,100,2010-08-20 00:00:00,PG,29011215,Susanna White,35000000
The Switch,100,2010-08-20 00:00:00,PG-13,27779426,Josh GordonWill Speck,19000000
Brooklyn's Finest,133,2010-03-05 00:00:00,R,27163593,Antoine Fuqua,17000000
Machete,105,2010-09-03 00:00:00,R,26593646,Ethan ManiquisRobert Rodriguez,10500000
Harry Potter and the Deathly Hallows Part 2,130,2011-07-15 00:00:00,PG-13,381011219,David Yates,
Transformers: Dark of the Moon,154,2011-06-29 00:00:00,PG-13,352390543,Michael Bay,195000000
The Twilight Saga: Breaking Dawn Part 1,108,2011-11-18 00:00:00,PG-13,281287133,Bill Condon,110000000
The Hangover Part II,102,2011-05-26 00:00:00,R,254464305,Todd Phillips,80000000
Pirates of the Caribbean: On Stranger Tides,137,2011-05-20 00:00:00,PG-13,241071802,Rob Marshall,250000000
